,index,cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen,gt1,gt2,gt3,gt4
1,26,60,1260,126,504,126,504,4,9.6,26.4,9.6,26.4,12.14798134,0.430877654,7.739655337,2.712826059,0.038810101,11.66605969,2.900401513,#REF!,#REF!,#REF!,#REF!
14,11,55,1260,315,315,315,315,4,16.75,16.75,16.75,16.75,13.74102367,0.564276958,8.304663363,2.755657643,0.039422856,10.80411867,2.930855915,#REF!,#REF!,#REF!,#REF!
39,17,55,1260,126,126,504,504,4,16.75,16.75,16.75,16.75,15.13678193,0.623786408,9.030979482,2.972236424,0.042521265,10.45667196,3.939909713,#REF!,#REF!,#REF!,#REF!
208,19,55,1260,126,126,126,882,4,16.75,16.75,16.75,16.75,25.66401648,1.03448493,16.15096028,4.632440596,0.066272398,17.49200416,8.679508201,#REF!,#REF!,#REF!,#REF!
7,4,50,1260,252,378,252,378,4,13.2,17.8,13.2,17.8,13.17876728,0.563034138,7.729566993,2.575162296,0.036840662,9.275768009,2.665594471,#REF!,#REF!,#REF!,#REF!
22,9,50,1260,252,252,630,126,4,15.5,15.5,15.5,15.5,14.14729109,0.650758534,7.874617614,2.52760373,0.036160282,9.358870215,2.749548681,#REF!,#REF!,#REF!,#REF!
5,278,60,1260,126,504,126,504,8,13.2,28.8,13.2,28.8,12.76675234,0.448416972,8.264734806,2.821657288,0.040367057,11.6571384,3.104265216,#REF!,#REF!,#REF!,#REF!
19,264,55,1260,315,315,315,315,8,19.75,19.75,19.75,19.75,14.02058552,0.548010515,8.648455671,2.871634414,0.041082037,10.6912486,3.156716191,#REF!,#REF!,#REF!,#REF!
178,271,55,1260,126,126,126,882,8,19.75,19.75,19.75,19.75,22.92819005,0.92372648,14.58640007,4.228287709,0.060490525,17.32346726,7.643336662,#REF!,#REF!,#REF!,#REF!
15,256,50,1260,252,378,252,378,8,16.4,20.6,16.4,20.6,13.80729215,0.593711244,8.143319179,2.643906204,0.037824123,9.995683369,2.939677474,#REF!,#REF!,#REF!,#REF!
56,261,50,1260,252,252,630,126,8,18.5,18.5,18.5,18.5,15.83484218,0.723543793,8.925002209,2.786380578,0.039862383,9.807845034,3.283549777,#REF!,#REF!,#REF!,#REF!
68,257,50,1260,126,126,504,504,8,18.5,18.5,18.5,18.5,16.21666292,0.706200719,9.512280818,2.914645971,0.041697367,10.16473913,3.737477678,#REF!,#REF!,#REF!,#REF!
8,530,60,1260,126,504,126,504,12,16.8,31.2,16.8,31.2,13.26601467,0.462621462,8.398728121,2.879202718,0.041190311,11.70364275,3.226764043,#REF!,#REF!,#REF!,#REF!
81,533,60,1260,126,126,504,504,12,24,24,24,24,16.60424404,0.667309211,10.08899265,3.164170739,0.045267106,10.4876127,4.445243483,#REF!,#REF!,#REF!,#REF!
221,523,55,1260,126,126,126,882,12,22.75,22.75,22.75,22.75,28.1316311,1.122115857,18.24732877,4.675959637,0.066894988,24.26568653,9.44101042,#REF!,#REF!,#REF!,#REF!
26,504,50,1260,315,315,315,315,12,21.5,21.5,21.5,21.5,14.63095922,0.619775295,8.794583074,2.664800324,0.038123038,9.505486401,2.945918085,#REF!,#REF!,#REF!,#REF!
28,507,50,1260,252,378,252,378,12,21.5,21.5,21.5,21.5,14.73271824,0.65132625,8.611479593,2.841706745,0.040653888,9.905280803,3.264055807,#REF!,#REF!,#REF!,#REF!
74,513,50,1260,252,252,630,126,12,21.5,21.5,21.5,21.5,16.31780301,0.742059949,9.315020839,2.872916068,0.041100373,10.00661352,3.52793314,#REF!,#REF!,#REF!,#REF!
